Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Majority Element II,majority-element-ii,229,"Given an integer array of size n, find all elements that appear more than ⌊ n/3 ⌋ times. ","Array,Hash Table,Sorting,Counting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDYy",Medium,42.2,667653,282018,,4680,277,"How many majority elements could it possibly have?

Do you have a better hint? Suggest it!","169,1102","Majority Element,Check If a Number Is Majority Element in a Sorted Array"
Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,230,"Given the root of a binary search tree, and an integer k, return the kth smallest value (1-indexed) of all the values of the nodes in the tree. ","Tree,Depth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,66.6,1100066,732943,,6137,123,Try to utilize the property of a BST. Try in-order traversal. (Credits to @chan13) What if you could modify the BST node's structure? The optimal runtime complexity is O(height of BST).,"94,671","Binary Tree Inorder Traversal,Second Minimum Node In a Binary Tree"
Power of Two,power-of-two,231,"Given an integer n, return true if it is a power of two. Otherwise, return false. An integer n is a power of two, if there exists an integer x such that n == 2x. ","Math,Bit Manipulation,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMx",Easy,44.9,1354147,608583,,3100,288,,"191,326,342","Number of 1 Bits,Power of Three,Power of Four"
Implement Queue using Stacks,implement-queue-using-stacks,232,"Implement a first in first out (FIFO) queue using only two stacks. The implemented queue should support all the functions of a normal queue (push, peek, pop, and empty). Implement the MyQueue class: Notes: ","Stack,Design,Queue","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0",Easy,57.9,682866,395580,,3210,218,,225,Implement Stack using Queues
Number of Digit One,number-of-digit-one,233,"Given an integer n, count the total number of digit 1 appearing in all non-negative integers less than or equal to n. ","Math,Dynamic Programming,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx",Hard,33.5,190665,63889,,704,1022,Beware of overflow.,"172,1068","Factorial Trailing Zeroes,Digit Count in Range"
Palindrome Linked List,palindrome-linked-list,234,"Given the head of a singly linked list, return true if it is a palindrome. ","Linked List,Two Pointers,Stack,Recursion","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx",Easy,46.5,2014641,935997,,8563,523,,"9,125,206,2236","Palindrome Number,Valid Palindrome,Reverse Linked List,Maximum Twin Sum of a Linked List"
Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,235,"Given a binary search tree (BST), find the lowest common ancestor (LCA) of two given nodes in the BST. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).” ","Tree,Depth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Easy,56.8,1282701,729126,,5455,182,,"236,1190,1780,1790,1816","Lowest Common Ancestor of a Binary Tree,Smallest Common Region,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV"
Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,236,"Given a binary tree, find the lowest common ancestor (LCA) of two given nodes in the tree. According to the definition of LCA on Wikipedia: “The lowest common ancestor is defined between two nodes p and q as the lowest node in T that has both p and q as descendants (where we allow a node to be a descendant of itself).” ","Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,55.2,1755028,967969,,9393,272,,"235,1190,1354,1780,1790,1816,2217","Lowest Common Ancestor of a Binary Search Tree,Smallest Common Region,Find Players With Zero or One Losses,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV,Step-By-Step Directions From a Binary Tree Node to Another"
Delete Node in a Linked List,delete-node-in-a-linked-list,237,"Write a function to delete a node in a singly-linked list. You will not be given access to the head of the list, instead you will be given access to the node to be deleted directly. It is guaranteed that the node to be deleted is not a tail node in the list. ",Linked List,VG9waWNUYWdOb2RlOjc=,Easy,71.7,1093877,784762,,4258,11520,,203,Remove Linked List Elements
Product of Array Except Self,product-of-array-except-self,238,"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i]. The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer. You must write an algorithm that runs in O(n) time and without using the division operation. ","Array,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDY4",Medium,63.9,1754180,1120129,,11850,724,,"42,152,265,2267","Trapping Rain Water,Maximum Product Subarray,Paint House II,Minimum Difference in Sums After Removal of Elements"
Sliding Window Maximum,sliding-window-maximum,239,"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position. Return the max sliding window. ","Array,Queue,Sliding Window,Heap (Priority Queue),Monotonic Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDcx",Hard,46.2,1201410,554953,,9485,337,How about using a data structure such as deque (double-ended queue)? The queue size need not be the same as the window’s size. Remove redundant elements and the queue should store only elements that need to be considered.,"76,155,159,265,1814","Minimum Window Substring,Min Stack,Longest Substring with At Most Two Distinct Characters,Paint House II,Jump Game VI"
Search a 2D Matrix II,search-a-2d-matrix-ii,240,Write an efficient algorithm that searches for a value target in an m x n integer matrix matrix. This matrix has the following properties: ,"Array,Binary Search,Divide and Conquer,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjYxMDUz",Medium,48.3,1215171,586774,,7143,121,,74,Search a 2D Matrix
Different Ways to Add Parentheses,different-ways-to-add-parentheses,241,"Given a string expression of numbers and operators, return all possible results from computing all the different possible ways to group numbers and operators. You may return the answer in any order. ","Math,String,Dynamic Programming,Recursion,Memoization","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx,VG9waWNUYWdOb2RlOjMz",Medium,61.5,259836,159798,,3513,171,,"95,224,282,2147,2328","Unique Binary Search Trees II,Basic Calculator,Expression Add Operators,The Score of Students Solving Math Expression,Minimize Result by Adding Parentheses to Expression"
Valid Anagram,valid-anagram,242,"Given two strings s and t, return true if t is an anagram of s, and false otherwise. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once. ","Hash Table,String,Sorting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,61.4,1961949,1203937,,4620,209,,"49,266,438","Group Anagrams,Palindrome Permutation,Find All Anagrams in a String"
Shortest Word Distance,shortest-word-distance,243,,"Array,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw",Easy,64.3,268584,172586,,993,85,,"244,245,2320","Shortest Word Distance II,Shortest Word Distance III,Find All K-Distant Indices in an Array"
Shortest Word Distance II,shortest-word-distance-ii,244,,"Array,Hash Table,Two Pointers,String,Design","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjI1",Medium,59.4,209173,124203,,824,253,,"21,243,245","Merge Two Sorted Lists,Shortest Word Distance,Shortest Word Distance III"
Shortest Word Distance III,shortest-word-distance-iii,245,,"Array,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw",Medium,57.2,116774,66747,,340,83,,"243,244","Shortest Word Distance,Shortest Word Distance II"
Strobogrammatic Number,strobogrammatic-number,246,,"Hash Table,Two Pointers,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw",Easy,47.6,285282,135671,,450,748,,"247,248,1069","Strobogrammatic Number II,Strobogrammatic Number III,Confusing Number"
Strobogrammatic Number II,strobogrammatic-number-ii,247,,"Array,String,Recursion","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjMx",Medium,50.9,230646,117468,,769,194,Try to use recursion and notice that it should recurse with n - 2 instead of n - 1.,"246,248,2202","Strobogrammatic Number,Strobogrammatic Number III,Sum of k-Mirror Numbers"
Strobogrammatic Number III,strobogrammatic-number-iii,248,,"Array,String,Recursion","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjMx",Hard,41.3,81199,33542,,270,170,,"246,247","Strobogrammatic Number,Strobogrammatic Number II"
Group Shifted Strings,group-shifted-strings,249,,"Array,Hash Table,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw",Medium,63.4,260115,165023,,1288,238,,49,Group Anagrams
Count Univalue Subtrees,count-univalue-subtrees,250,,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,54.8,215228,117876,,932,299,,"572,687","Subtree of Another Tree,Longest Univalue Path"
Hopper Company Queries III,hopper-company-queries-iii,1795,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Hard,67.2,6002,4031,,16,41,,"262,1779,1785,2376","Trips and Users,Hopper Company Queries I,Hopper Company Queries II,Number of Times a Driver Was a Passenger"
Defuse the Bomb,defuse-the-bomb,1755,"You have a bomb to defuse, and your time is running out! Your informer will provide you with a circular array code of length of n and a key k. To decrypt the code, you must replace every number. All the numbers are replaced simultaneously. As code is circular, the next element of code[n-1] is code[0], and the previous element of code[0] is code[n-1]. Given the circular array code and an integer key k, return the decrypted code to defuse the bomb! ",Array,VG9waWNUYWdOb2RlOjU=,Easy,60.8,37170,22582,,414,45,"As the array is circular, use modulo to find the correct index. The constraints are low enough for a brute-force solution.",,
Minimum Deletions to Make String Balanced,minimum-deletions-to-make-string-balanced,1756,"You are given a string s consisting only of characters 'a' and 'b'​​​​. You can delete any number of characters in s to make s balanced. s is balanced if there is no pair of indices (i,j) such that i < j and s[i] = 'b' and s[j]= 'a'. Return the minimum number of deletions needed to make s balanced. ","String,Dynamic Programming,Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE1",Medium,56.0,33672,18869,,682,19,You need to find for every index the number of Bs before it and the number of A's after it You can speed up the finding of A's and B's in suffix and prefix using preprocessing,2243,Check if All A's Appears Before All B's
Minimum Jumps to Reach Home,minimum-jumps-to-reach-home,1757,"A certain bug's home is on the x-axis at position x. Help them get there from position 0. The bug jumps according to the following rules: The bug may jump forward beyond its home, but it cannot jump to positions numbered with negative integers. Given an array of integers forbidden, where forbidden[i] means that the bug cannot jump to the position forbidden[i], and integers a, b, and x, return the minimum number of jumps needed for the bug to reach its home. If there is no possible sequence of jumps that lands the bug on position x, return -1. ","Array,Dynamic Programming,Breadth-First Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjIy",Medium,27.1,76400,20667,,772,160,Think of the line as a graph to handle the no double back jumps condition you can handle it by holding the state of your previous jump,,
Distribute Repeating Integers,distribute-repeating-integers,1758,"You are given an array of n integers, nums, where there are at most 50 unique values in the array. You are also given an array of m customer order quantities, quantity, where quantity[i] is the amount of integers the ith customer ordered. Determine if it is possible to distribute nums such that: Return true if it is possible to distribute nums according to the above conditions. ","Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4",Hard,40.3,19494,7859,,210,14,"Count the frequencies of each number. For example, if nums = [4,4,5,5,5], frequencies = [2,3]. Each customer wants all of their numbers to be the same. This means that each customer will be assigned to one number. Use dynamic programming. Iterate through the numbers' frequencies, and choose some subset of customers to be assigned to this number.",,
Design an Ordered Stream,design-an-ordered-stream,1775,"There is a stream of n (idKey, value) pairs arriving in an arbitrary order, where idKey is an integer between 1 and n and value is a string. No two pairs have the same id. Design a stream that returns the values in increasing order of their IDs by returning a chunk (list) of values after each insertion. The concatenation of all the chunks should result in a list of the sorted values. Implement the OrderedStream class:  Example:   Constraints:","Array,Hash Table,Design,Data Stream","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDYz",Easy,83.7,42667,35708,,200,1698,"Maintain the next id that should be outputted. Maintain the ids that were inserted in the stream. Per each insert, make a loop where you check if the id that has the turn has been inserted, and if so increment the id that has the turn and continue the loop, else break.",,
Determine if Two Strings Are Close,determine-if-two-strings-are-close,1777,"Two strings are considered close if you can attain one from the other using the following operations: You can use the operations on either string as many times as necessary. Given two strings, word1 and word2, return true if word1 and word2 are close, and false otherwise. ","Hash Table,String,Sorting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,54.5,72085,39305,,666,36,Operation 1 allows you to freely reorder the string. Operation 2 allows you to freely reassign the letters' frequencies.,"889,1369,1469","Buddy Strings,Minimum Swaps to Make Strings Equal,Minimum Number of Steps to Make Two Strings Anagram"
Minimum Operations to Reduce X to Zero,minimum-operations-to-reduce-x-to-zero,1776,"You are given an integer array nums and an integer x. In one operation, you can either remove the leftmost or the rightmost element from the array nums and subtract its value from x. Note that this modifies the array for future operations. Return the minimum number of operations to reduce x to exactly 0 if it is possible, otherwise, return -1. ","Array,Hash Table,Binary Search,Sliding Window,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDY4",Medium,33.5,136320,45728,,1552,28,"Think in reverse; instead of finding the minimum prefix + suffix, find the maximum subarray. Finding the maximum subarray is standard and can be done greedily.","209,560,2183,2290","Minimum Size Subarray Sum,Subarray Sum Equals K,Minimum Operations to Convert Number,Removing Minimum Number of Magic Beans"
Maximize Grid Happiness,maximize-grid-happiness,1778,"You are given four integers, m, n, introvertsCount, and extrovertsCount. You have an m x n grid, and there are two types of people: introverts and extroverts. There are introvertsCount introverts and extrovertsCount extroverts. You should decide how many people you want to live in the grid and assign each of them one grid cell. Note that you do not have to have all the people living in the grid. The happiness of each person is calculated as follows: Neighbors live in the directly adjacent cells north, east, south, and west of a person's cell. The grid happiness is the sum of each person's happiness. Return the maximum possible grid happiness. ","Dynamic Programming,Bit Manipulation,Memoization,Bitmask","VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMz,VG9waWNUYWdOb2RlOjYxMDc4",Hard,37.5,9572,3591,,217,47,"For each cell, it has 3 options, either it is empty, or contains an introvert, or an extrovert. You can do DP where you maintain the state of the previous row, the number of remaining introverts and extroverts, the current row and column, and try the 3 options for each cell. Assume that the previous columns in the current row already belong to the previous row.",,
Correct a Binary Tree,correct-a-binary-tree,1796,,"Hash Table,Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3",Medium,72.7,14345,10429,,163,23,"If you traverse the tree from right to left, the invalid node will point to a node that has already been visited.","114,766","Flatten Binary Tree to Linked List,Flatten a Multilevel Doubly Linked List"
Average Time of Process per Machine,average-time-of-process-per-machine,1801,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,79.9,19291,15404,,87,19,,,
Check If Two String Arrays are Equivalent,check-if-two-string-arrays-are-equivalent,1781,"Given two string arrays word1 and word2, return true if the two arrays represent the same string, and false otherwise. A string is represented by an array if the array elements concatenated in order forms the string. ","Array,String","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw",Easy,82.0,169765,139123,,764,109,"Concatenate all strings in the first array into a single string in the given order, the same for the second array. Both arrays represent the same string if and only if the generated strings are the same.",2184,Check if an Original String Exists Given Two Encoded Strings
Smallest String With A Given Numeric Value,smallest-string-with-a-given-numeric-value,1782,"The numeric value of a lowercase character is defined as its position (1-indexed) in the alphabet, so the numeric value of a is 1, the numeric value of b is 2, the numeric value of c is 3, and so on. The numeric value of a string consisting of lowercase characters is defined as the sum of its characters' numeric values. For example, the numeric value of the string ""abe"" is equal to 1 + 2 + 5 = 8. You are given two integers n and k. Return the lexicographically smallest string with length equal to n and numeric value equal to k. Note that a string x is lexicographically smaller than string y if x comes before y in dictionary order, that is, either x is a prefix of y, or if i is the first position such that x[i] != y[i], then x[i] comes before y[i] in alphabetic order. ","String,Greedy","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3",Medium,67.0,118160,79194,,1523,50,"Think greedily. If you build the string from the end to the beginning, it will always be optimal to put the highest possible character at the current index.",,
Ways to Make a Fair Array,ways-to-make-a-fair-array,1783,"You are given an integer array nums. You can choose exactly one index (0-indexed) and remove the element. Notice that the index of the elements may change after the removal. For example, if nums = [6,1,7,4,1]: An array is fair if the sum of the odd-indexed values equals the sum of the even-indexed values. Return the number of indices that you could choose such that after the removal, nums is fair. ","Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz",Medium,63.2,37107,23436,,807,20,The parity of the indices after the removed element changes. Calculate prefix sums for even and odd indices separately to calculate for each index in O(1).,,
Minimum Initial Energy to Finish Tasks,minimum-initial-energy-to-finish-tasks,1784,"You are given an array tasks where tasks[i] = [actuali, minimumi]: For example, if the task is [10, 12] and your current energy is 11, you cannot start this task. However, if your current energy is 13, you can complete this task, and your energy will be 3 after finishing it. You can finish the tasks in any order you like. Return the minimum initial amount of energy you will need to finish all the tasks. ","Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5",Hard,55.8,20381,11366,,356,28,We can easily figure that the f(x) : does x solve this array is monotonic so binary Search is doable Figure a sorting pattern,,
Change the Root of a Binary Tree,change-the-root-of-a-binary-tree,1810,,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,68.2,3388,2310,,44,111,"Start traversing from the leaf. Always go up till you reach the root. Change pointers as asked, make the current node's parent its left child, and make the left child the right one if needed.",,
Fix Names in a Table,fix-names-in-a-table,1811,Table: Users  Write an SQL query to fix the names so that only the first character is uppercase and the rest are lowercase. Return the result table ordered by user_id. The query result format is in the following example. ,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,62.7,20529,12876,,66,36,,,
Maximum Repeating Substring,maximum-repeating-substring,1764,"For a string sequence, a string word is k-repeating if word concatenated k times is a substring of sequence. The word's maximum k-repeating value is the highest value k where word is k-repeating in sequence. If word is not a substring of sequence, word's maximum k-repeating value is 0. Given strings sequence and word, return the maximum k-repeating value of word in sequence. ","String,String Matching","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDUy",Easy,39.6,59819,23687,,368,125,The constraints are low enough for a brute force approach. Try every k value from 0 upwards until word is no longer k-repeating.,1689,Detect Pattern of Length M Repeated K or More Times
Merge In Between Linked Lists,merge-in-between-linked-lists,1765,"You are given two linked lists: list1 and list2 of sizes n and m respectively. Remove list1's nodes from the ath node to the bth node, and put list2 in their place. The blue edges and nodes in the following figure indicate the result: Build the result list and return its head. ",Linked List,VG9waWNUYWdOb2RlOjc=,Medium,74.6,64881,48376,,842,123,Check which edges need to be changed. Let the next node of the (a-1)th node of list1 be the 0-th node in list 2. Let the next node of the last node of list2 be the (b+1)-th node in list 1.,,
Design Front Middle Back Queue,design-front-middle-back-queue,1767,"Design a queue that supports push and pop operations in the front, middle, and back. Implement the FrontMiddleBack class: Notice that when there are two middle position choices, the operation is performed on the frontmost middle position choice. For example: ","Array,Linked List,Design,Queue,Data Stream","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjYxMDYz",Medium,55.5,25742,14289,,422,72,"The constraints are low enough for a brute force, single array approach. For an O(1) per method approach, use 2 double-ended queues: one for the first half and one for the second half.","859,860","Design Circular Deque,Design Circular Queue"
Minimum Number of Removals to Make Mountain Array,minimum-number-of-removals-to-make-mountain-array,1766,"You may recall that an array arr is a mountain array if and only if: Given an integer array nums​​​, return the minimum number of elements to remove to make nums​​​ a mountain array. ","Array,Binary Search,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3",Hard,43.1,29099,12551,,714,11,Think the opposite direction instead of minimum elements to remove the maximum mountain subsequence Think of LIS it's kind of close,"300,875,882,978,1185","Longest Increasing Subsequence,Longest Mountain in Array,Peak Index in a Mountain Array,Valid Mountain Array,Find in Mountain Array"
Richest Customer Wealth,richest-customer-wealth,1791,You are given an m x n integer grid accounts where accounts[i][j] is the amount of money the i​​​​​​​​​​​th​​​​ customer has in the j​​​​​​​​​​​th​​​​ bank. Return the wealth that the richest customer has. A customer's wealth is the amount of money they have in all their bank accounts. The richest customer is the customer that has the maximum wealth. ,"Array,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz",Easy,89.3,310405,277200,,1770,256,Calculate the wealth of each customer Find the maximum element in array.,,
Find the Most Competitive Subsequence,find-the-most-competitive-subsequence,1792,"Given an integer array nums and a positive integer k, return the most competitive subsequence of nums of size k. An array's subsequence is a resulting sequence obtained by erasing some (possibly zero) elements from the array. We define that a subsequence a is more competitive than a subsequence b (of the same length) if in the first position where a and b differ, subsequence a has a number less than the corresponding number in b. For example, [1,3,4] is more competitive than [1,3,5] because the first position they differ is at the final number, and 4 is less than 5. ","Array,Stack,Greedy,Monotonic Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDU0",Medium,48.4,86550,41852,,1258,59,"In lexicographical order, the elements to the left have higher priority than those that come after. Can you think of a strategy that incrementally builds the answer from left to right?","402,1159","Remove K Digits,Smallest Subsequence of Distinct Characters"
Minimum Moves to Make Array Complementary,minimum-moves-to-make-array-complementary,1793,"You are given an integer array nums of even length n and an integer limit. In one move, you can replace any integer from nums with another integer between 1 and limit, inclusive. The array nums is complementary if for all indices i (0-indexed), nums[i] + nums[n - 1 - i] equals the same number. For example, the array [1,2,3,4] is complementary because for all indices i, nums[i] + nums[n - 1 - i] = 5. Return the minimum number of moves required to make nums complementary. ","Array,Hash Table,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDY4",Medium,37.3,15487,5772,,437,54,"Given a target sum x, each pair of nums[i] and nums[n-1-i] would either need 0, 1, or 2 modifications. Can you find the optimal target sum x value such that the sum of modifications is minimized? Create a difference array to efficiently sum all the modifications.",,
Minimize Deviation in Array,minimize-deviation-in-array,1794,You are given an array nums of n positive integers. You can perform two types of operations on any element of the array any number of times: The deviation of the array is the maximum difference between any two elements in the array. Return the minimum deviation the array can have after performing some number of operations. ,"Array,Greedy,Heap (Priority Queue),Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDcw",Hard,52.5,81442,42779,,1577,83,"Assume you start with the minimum possible value for each number so you can only multiply a number by 2 till it reaches its maximum possible value. If there is a better solution than the current one, then it must have either its maximum value less than the current maximum value, or the minimum value larger than the current minimum value. Since that we only increase numbers (multiply them by 2), we cannot decrease the current maximum value, so we must multiply the current minimum number by 2.",,
Lowest Common Ancestor of a Binary Tree IV,lowest-common-ancestor-of-a-binary-tree-iv,1816,,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Medium,79.4,25459,20221,,283,9,"Starting from the root, traverse the left and the right subtrees, checking if one of the nodes exist there. If one of the subtrees doesn't contain any given node, the LCA can be the node returned from the other subtree If both subtrees contain nodes, the LCA node is the current node.","235,236,1218,1780,1790,1816","Lowest Common Ancestor of a Binary Search Tree,Lowest Common Ancestor of a Binary Tree,Lowest Common Ancestor of Deepest Leaves,Lowest Common Ancestor of a Binary Tree II,Lowest Common Ancestor of a Binary Tree III,Lowest Common Ancestor of a Binary Tree IV"
Product's Worth Over Invoices,products-worth-over-invoices,1821,,Database,VG9waWNUYWdOb2RlOjYxMDQz,Easy,40.9,24909,10182,,20,89,,,
Goal Parser Interpretation,goal-parser-interpretation,1797,"You own a Goal Parser that can interpret a string command. The command consists of an alphabet of ""G"", ""()"" and/or ""(al)"" in some order. The Goal Parser will interpret ""G"" as the string ""G"", ""()"" as the string ""o"", and ""(al)"" as the string ""al"". The interpreted strings are then concatenated in the original order. Given the string command, return the Goal Parser's interpretation of command. ",String,VG9waWNUYWdOb2RlOjEw,Easy,85.7,120299,103140,,676,61,You need to check at most 2 characters to determine which character comes next.,,
Max Number of K-Sum Pairs,max-number-of-k-sum-pairs,1798,"You are given an integer array nums and an integer k. In one operation, you can pick two numbers from the array whose sum equals k and remove them from the array. Return the maximum number of operations you can perform on the array. ","Array,Hash Table,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,53.6,95121,50972,,689,25,"The abstract problem asks to count the number of disjoint pairs with a given sum k. For each possible value x, it can be paired up with k - x. The number of such pairs equals to  min(count(x), count(k-x)), unless that x = k / 2, where the number of such pairs will be floor(count(x) / 2).","1,1830","Two Sum,Count Good Meals"
Concatenation of Consecutive Binary Numbers,concatenation-of-consecutive-binary-numbers,1800,"Given an integer n, return the decimal value of the binary string formed by concatenating the binary representations of 1 to n in order, modulo 109 + 7. ","Math,Bit Manipulation,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDU1",Medium,52.6,64004,33637,,338,206,Express the nth number value in a recursion formula and think about how we can do a fast evaluation.,,
